execCombinationId,alfFlowId,originNlc,destinationNlc,ticketType,routeCode,expOperatingMiles,expTicketMiles,actOperatingMiles,actTicketMiles,expTotalPcCount,actTotalPcCount,actDistinctPcCount,expDistinctPcCount,softMatchPcCount,exactMatchPcCount
3_DEC25_127,377688071,3776,8807,0,000,5.0,5.0,5.0,5.0,1,1,0,0,0,1
3_DEC25_127,377688074,3776,8807,3,000,5.0,5.0,5.0,5.0,1,1,0,0,0,1
3_DEC25_127,377688081,3776,8808,0,000,4.0,4.0,4.0,4.0,1,1,0,0,0,1
3_DEC25_127,377688084,3776,8808,3,000,4.0,4.0,4.0,4.0,1,1,0,0,0,1
3_DEC25_127,639188071,6391,8807,0,000,8.0,8.0,8.0,8.0,1,1,0,0,0,1
3_DEC25_127,639188074,6391,8807,3,000,8.0,8.0,8.0,8.0,1,1,0,0,0,1
3_DEC25_127,639188081,6391,8808,0,000,7.0,7.0,7.0,7.0,1,1,0,0,0,1
3_DEC25_127,639188084,6391,8808,3,000,7.0,7.0,7.0,7.0,1,1,0,0,0,1
3_DEC25_127,660478141,6604,7814,0,000,6.0,6.0,6.0,6.0,1,1,0,0,0,1
3_DEC25_127,663484321,6634,8432,0,000,4.0,4.0,4.0,4.0,1,1,0,0,0,1
3_DEC25_127,663484324,6634,8432,3,000,4.0,4.0,4.0,4.0,1,1,0,0,0,1
3_DEC25_127,692988071,6929,8807,0,000,6.0,6.0,6.0,6.0,1,1,0,0,0,1
3_DEC25_127,692988073,6929,8807,2,000,6.0,6.0,6.0,6.0,1,1,0,0,0,1
3_DEC25_127,692988074,6929,8807,3,000,6.0,6.0,6.0,6.0,1,1,0,0,0,1
3_DEC25_127,692988081,6929,8808,0,000,5.0,5.0,5.0,5.0,1,1,0,0,0,1
3_DEC25_127,692988084,6929,8808,3,000,5.0,5.0,5.0,5.0,1,1,0,0,0,1
3_DEC25_127,751579091,7515,7909,0,000,6.0,6.0,6.0,6.0,1,1,0,0,0,1
3_DEC25_127,751579094,7515,7909,3,000,6.0,6.0,6.0,6.0,1,1,0,0,0,1
3_DEC25_127,751579141,7515,7914,0,000,2.0,2.0,2.0,2.0,1,1,0,0,0,1
3_DEC25_127,751579144,7515,7914,3,000,2.0,2.0,2.0,2.0,1,1,0,0,0,1
3_DEC25_127,751579151,7515,7915,0,000,3.0,3.0,3.0,3.0,1,1,0,0,0,1
3_DEC25_127,751579154,7515,7915,3,000,3.0,3.0,3.0,3.0,1,1,0,0,0,1
3_DEC25_127,751579181,7515,7918,0,000,10.0,10.0,10.0,10.0,1,1,0,0,0,1
3_DEC25_127,751579184,7515,7918,3,000,10.0,10.0,10.0,10.0,1,1,0,0,0,1
3_DEC25_127,751579211,7515,7921,0,000,9.0,9.0,9.0,9.0,1,1,0,0,0,1
3_DEC25_127,751579214,7515,7921,3,000,9.0,9.0,9.0,9.0,1,1,0,0,0,1
3_DEC25_127,751579221,7515,7922,0,000,9.0,9.0,9.0,9.0,1,1,0,0,0,1
3_DEC25_127,751579224,7515,7922,3,000,9.0,9.0,9.0,9.0,1,1,0,0,0,1
3_DEC25_127,751579251,7515,7925,0,000,7.0,7.0,7.0,7.0,1,1,0,0,0,1
3_DEC25_127,751579254,7515,7925,3,000,7.0,7.0,7.0,7.0,1,1,0,0,0,1
3_DEC25_127,751579301,7515,7930,0,000,13.0,13.0,13.0,13.0,1,1,0,0,0,1
3_DEC25_127,751579304,7515,7930,3,000,13.0,13.0,13.0,13.0,1,1,0,0,0,1
3_DEC25_127,751579461,7515,7946,0,000,12.0,12.0,12.0,12.0,1,1,0,0,0,1
3_DEC25_127,751579464,7515,7946,3,000,12.0,12.0,12.0,12.0,1,1,0,0,0,1
3_DEC25_127,751579471,7515,7947,0,000,14.0,14.0,14.0,14.0,1,1,0,0,0,1
3_DEC25_127,751579474,7515,7947,3,000,14.0,14.0,14.0,14.0,1,1,0,0,0,1
3_DEC25_127,751581551,7515,8155,0,000,12.0,12.0,12.0,12.0,1,1,0,0,0,1
3_DEC25_127,751581554,7515,8155,3,000,12.0,12.0,12.0,12.0,1,1,0,0,0,1
3_DEC25_127,751581741,7515,8174,0,000,17.0,17.0,17.0,17.0,1,1,0,0,0,1
3_DEC25_127,751581744,7515,8174,3,000,17.0,17.0,17.0,17.0,1,1,0,0,0,1
3_DEC25_127,751581791,7515,8179,0,000,15.0,15.0,15.0,15.0,1,1,0,0,0,1
3_DEC25_127,751581794,7515,8179,3,000,15.0,15.0,15.0,15.0,1,1,0,0,0,1
3_DEC25_127,751581841,7515,8184,0,000,18.0,18.0,18.0,18.0,1,1,0,0,0,1
3_DEC25_127,751581843,7515,8184,2,000,18.0,18.0,18.0,18.0,1,1,0,0,0,1
3_DEC25_127,751581844,7515,8184,3,000,18.0,18.0,18.0,18.0,1,1,0,0,0,1
3_DEC25_127,751679091,7516,7909,0,000,2.0,2.0,2.0,2.0,1,1,0,0,0,1
3_DEC25_127,751679094,7516,7909,3,000,2.0,2.0,2.0,2.0,1,1,0,0,0,1
3_DEC25_127,751679141,7516,7914,0,000,6.0,6.0,6.0,6.0,1,1,0,0,0,1
3_DEC25_127,751679144,7516,7914,3,000,6.0,6.0,6.0,6.0,1,1,0,0,0,1
3_DEC25_127,751679151,7516,7915,0,000,7.0,7.0,7.0,7.0,1,1,0,0,0,1