execCombinationId,planFlowId,originNlc,destinationNlc,routeCode,journeyDate,expTotalPlanCount,actTotalPlanCount,exactMatchPlanCount,softMatchPlanCount,expFilteredOutPlanCount,actFilteredOutPlanCount,expDistinctPlanCount,actDistinctPlanCount
13_DEC25_132,099093711,0990,9371,000,2025-12-20,32,32,32,0,0,0,0,0
13_DEC25_132,142995871,1429,9587,000,2025-12-20,70,70,70,0,0,0,0,0
13_DEC25_132,173496551,1734,9655,000,2025-12-20,35,35,35,0,0,0,0,0
13_DEC25_132,189798821,1897,9882,000,2025-12-20,33,33,33,0,0,0,0,0
13_DEC25_132,205896141,2058,9614,000,2025-12-20,8,7,7,0,0,0,1,0
13_DEC25_132,209094901,2090,9490,275,2025-12-20,14,13,13,0,0,0,1,0
13_DEC25_132,210294901,2102,9490,000,2025-12-20,14,13,13,0,0,0,1,0
13_DEC25_132,211843871,2118,4387,000,2025-12-20,15,15,12,3,0,0,0,0
13_DEC25_132,211843874,2118,4387,452,2025-12-20,15,15,12,3,0,0,0,0
13_DEC25_132,222597091,2225,9709,000,2025-12-20,71,71,71,0,0,0,0,0
13_DEC25_132,224897091,2248,9709,000,2025-12-20,71,71,71,0,0,0,0,0
13_DEC25_132,225597091,2255,9709,000,2025-12-20,71,71,71,0,0,0,0,0
13_DEC25_132,309295861,3092,9586,000,2025-12-20,92,92,92,0,0,0,0,0
13_DEC25_132,380999021,3809,9902,000,2025-12-20,32,32,32,0,0,0,0,0
13_DEC25_132,380999161,3809,9916,000,2025-12-20,32,32,32,0,0,0,0,0
13_DEC25_132,380999191,3809,9919,000,2025-12-20,32,32,32,0,0,0,0,0
13_DEC25_132,380999201,3809,9920,000,2025-12-20,32,32,32,0,0,0,0,0
13_DEC25_132,380999211,3809,9921,000,2025-12-20,32,32,32,0,0,0,0,0
13_DEC25_132,380999251,3809,9925,000,2025-12-20,29,29,29,0,0,0,0,0
13_DEC25_132,385099021,3850,9902,000,2025-12-20,18,18,18,0,0,0,0,0
13_DEC25_132,688869691,6888,6969,000,2025-12-20,127,127,127,0,0,0,0,0
13_DEC25_132,696968881,6969,6888,000,2025-12-20,128,128,128,0,0,0,0,0
13_DEC25_132,937109901,9371,0990,000,2025-12-20,35,35,35,0,0,0,0,0
13_DEC25_132,949020901,9490,2090,275,2025-12-20,15,15,15,0,0,0,0,0
13_DEC25_132,949021021,9490,2102,000,2025-12-20,15,15,15,0,0,0,0,0
13_DEC25_132,958630921,9586,3092,000,2025-12-20,92,92,92,0,0,0,0,0
13_DEC25_132,958714291,9587,1429,000,2025-12-20,70,70,70,0,0,0,0,0
13_DEC25_132,965517341,9655,1734,000,2025-12-20,36,36,36,0,0,0,0,0
13_DEC25_132,970922251,9709,2225,000,2025-12-20,70,70,70,0,0,0,0,0
13_DEC25_132,970922481,9709,2248,000,2025-12-20,70,70,70,0,0,0,0,0
13_DEC25_132,970922551,9709,2255,000,2025-12-20,70,70,70,0,0,0,0,0
13_DEC25_132,988218971,9882,1897,000,2025-12-20,19,19,19,0,0,0,0,0
13_DEC25_132,990238501,9902,3850,000,2025-12-20,16,16,16,0,0,0,0,0
13_DEC25_132,099197571,0991,9757,000,2025-12-20,35,36,35,0,0,0,0,1
13_DEC25_132,099197591,0991,9759,000,2025-12-20,35,36,35,0,0,0,0,1
13_DEC25_132,124364171,1243,6417,000,2025-12-20,31,32,30,1,0,0,0,1
13_DEC25_132,438721181,4387,2118,000,2025-12-20,17,18,16,1,0,0,0,1
13_DEC25_132,641712431,6417,1243,000,2025-12-20,29,29,28,0,0,0,1,1
13_DEC25_132,975709911,9757,0991,000,2025-12-20,34,35,34,0,0,0,0,1
13_DEC25_132,975909911,9759,0991,000,2025-12-20,34,35,34,0,0,0,0,1
13_DEC25_132,990238091,9902,3809,000,2025-12-20,27,21,19,1,0,0,7,1
13_DEC25_132,991638091,9916,3809,000,2025-12-20,27,21,19,1,0,0,7,1
13_DEC25_132,991938091,9919,3809,000,2025-12-20,27,21,19,1,0,0,7,1
13_DEC25_132,992038091,9920,3809,000,2025-12-20,27,21,19,1,0,0,7,1
13_DEC25_132,992138091,9921,3809,000,2025-12-20,27,21,19,1,0,0,7,1
13_DEC25_132,438721184,4387,2118,452,2025-12-20,16,18,15,1,0,0,0,2
13_DEC25_132,992538091,9925,3809,000,2025-12-20,32,35,32,0,0,0,0,3
13_DEC25_132,961420581,9614,2058,000,2025-12-20,0,7,0,0,0,0,0,7
13_DEC25_132,438721187,4387,2118,492,2025-12-20,0,10,0,0,0,0,0,10
13_DEC25_132,438721183,4387,2118,000,2026-02-15,17,18,16,0,0,0,1,2
13_DEC25_132,142995873,1429,9587,000,2026-02-15,55,55,55,0,0,0,0,0
13_DEC25_132,224897093,2248,9709,000,2026-02-15,32,32,32,0,0,0,0,0
13_DEC25_132,124364173,1243,6417,000,2026-02-15,25,26,22,2,0,0,1,2
13_DEC25_132,696968883,6969,6888,000,2026-02-15,76,76,76,0,0,0,0,0
13_DEC25_132,205896143,2058,9614,000,2026-02-15,6,6,6,0,0,0,0,0
13_DEC25_132,099197593,0991,9759,000,2026-02-15,26,26,26,0,0,0,0,0
13_DEC25_132,975909913,9759,0991,000,2026-02-15,26,26,26,0,0,0,0,0
13_DEC25_132,992038093,9920,3809,000,2026-02-15,7,7,6,0,0,0,1,1
13_DEC25_132,380999193,3809,9919,000,2026-02-15,7,6,6,0,0,0,1,0
13_DEC25_132,958630923,9586,3092,000,2026-02-15,79,79,79,0,0,0,0,0
13_DEC25_132,641712433,6417,1243,000,2026-02-15,19,20,18,0,0,0,1,2
13_DEC25_132,380999023,3809,9902,000,2026-02-15,7,6,6,0,0,0,1,0
13_DEC25_132,990238093,9902,3809,000,2026-02-15,7,7,6,0,0,0,1,1
13_DEC25_132,990238503,9902,3850,000,2026-02-15,0,4,0,0,0,0,0,4
13_DEC25_132,209094903,2090,9490,275,2026-02-15,5,5,5,0,0,0,0,0
13_DEC25_132,949021023,9490,2102,000,2026-02-15,4,4,4,0,0,0,0,0
13_DEC25_132,380999203,3809,9920,000,2026-02-15,7,6,6,0,0,0,1,0
13_DEC25_132,991938093,9919,3809,000,2026-02-15,7,7,6,0,0,0,1,1
13_DEC25_132,438721189,4387,2118,492,2026-02-15,0,6,0,0,0,0,0,6
13_DEC25_132,225597093,2255,9709,000,2026-02-15,32,32,32,0,0,0,0,0
13_DEC25_132,991638093,9916,3809,000,2026-02-15,7,7,6,0,0,0,1,1
13_DEC25_132,970922253,9709,2225,000,2026-02-15,31,31,31,0,0,0,0,0
13_DEC25_132,988218973,9882,1897,000,2026-02-15,17,17,17,0,0,0,0,0
13_DEC25_132,211843877,2118,4387,492,2026-02-15,0,1,0,0,0,0,0,1
13_DEC25_132,965517343,9655,1734,000,2026-02-15,15,15,15,0,0,0,0,0
13_DEC25_132,222597093,2225,9709,000,2026-02-15,32,32,32,0,0,0,0,0
13_DEC25_132,937109903,9371,0990,000,2026-02-15,25,25,25,0,0,0,0,0
13_DEC25_132,970922483,9709,2248,000,2026-02-15,31,31,31,0,0,0,0,0
13_DEC25_132,975709913,9757,0991,000,2026-02-15,26,26,26,0,0,0,0,0
13_DEC25_132,380999213,3809,9921,000,2026-02-15,7,6,6,0,0,0,1,0
13_DEC25_132,173496553,1734,9655,000,2026-02-15,14,14,14,0,0,0,0,0
13_DEC25_132,961420583,9614,2058,000,2026-02-15,0,4,0,0,0,0,0,4
13_DEC25_132,380999163,3809,9916,000,2026-02-15,7,6,6,0,0,0,1,0
13_DEC25_132,992138093,9921,3809,000,2026-02-15,7,7,6,0,0,0,1,1
13_DEC25_132,211843876,2118,4387,452,2026-02-15,10,10,10,0,0,0,0,0
13_DEC25_132,210294903,2102,9490,000,2026-02-15,5,5,5,0,0,0,0,0
13_DEC25_132,189798823,1897,9882,000,2026-02-15,21,22,21,0,0,0,0,1
13_DEC25_132,958714293,9587,1429,000,2026-02-15,58,58,58,0,0,0,0,0
13_DEC25_132,211843873,2118,4387,000,2026-02-15,11,10,10,0,0,0,1,0
13_DEC25_132,099093713,0990,9371,000,2026-02-15,25,25,25,0,0,0,0,0
13_DEC25_132,970922553,9709,2255,000,2026-02-15,31,31,31,0,0,0,0,0
13_DEC25_132,992538093,9925,3809,000,2026-02-15,10,13,10,0,0,0,0,3
13_DEC25_132,688869693,6888,6969,000,2026-02-15,80,80,80,0,0,0,0,0
13_DEC25_132,380999253,3809,9925,000,2026-02-15,9,10,9,0,0,0,0,1
13_DEC25_132,949020903,9490,2090,275,2026-02-15,4,4,4,0,0,0,0,0
13_DEC25_132,309295863,3092,9586,000,2026-02-15,80,80,80,0,0,0,0,0
13_DEC25_132,099197573,0991,9757,000,2026-02-15,26,26,26,0,0,0,0,0
13_DEC25_132,385099023,3850,9902,000,2026-02-15,2,3,2,0,0,0,0,1
13_DEC25_132,438721186,4387,2118,452,2026-02-15,16,18,15,0,0,0,1,3
13_DEC25_132,438721188,4387,2118,492,2026-02-04,0,11,0,0,0,0,0,11
13_DEC25_132,380999022,3809,9902,000,2026-02-04,32,32,32,0,0,0,0,0
13_DEC25_132,970922482,9709,2248,000,2026-02-04,70,70,70,0,0,0,0,0
13_DEC25_132,211843875,2118,4387,452,2026-02-04,15,15,14,1,0,0,0,0
13_DEC25_132,225597092,2255,9709,000,2026-02-04,70,71,70,0,0,0,0,1
13_DEC25_132,949020902,9490,2090,275,2026-02-04,15,15,15,0,0,0,0,0
13_DEC25_132,438721185,4387,2118,452,2026-02-04,22,23,21,1,0,0,0,1
13_DEC25_132,641712432,6417,1243,000,2026-02-04,28,30,27,1,0,0,0,2
13_DEC25_132,970922252,9709,2225,000,2026-02-04,70,70,70,0,0,0,0,0
13_DEC25_132,990238502,9902,3850,000,2026-02-04,15,17,15,0,0,0,0,2
13_DEC25_132,975709912,9757,0991,000,2026-02-04,38,38,37,0,0,0,1,1
13_DEC25_132,991938092,9919,3809,000,2026-02-04,24,23,17,1,0,0,6,5
13_DEC25_132,380999192,3809,9919,000,2026-02-04,32,32,32,0,0,0,0,0
13_DEC25_132,958714292,9587,1429,000,2026-02-04,77,77,77,0,0,0,0,0
13_DEC25_132,438721182,4387,2118,000,2026-02-04,22,23,21,1,0,0,0,1
13_DEC25_132,173496552,1734,9655,000,2026-02-04,37,36,36,0,0,0,1,0
13_DEC25_132,380999202,3809,9920,000,2026-02-04,32,32,32,0,0,0,0,0
13_DEC25_132,222597092,2225,9709,000,2026-02-04,70,71,70,0,0,0,0,1
13_DEC25_132,309295862,3092,9586,000,2026-02-04,103,102,102,0,0,0,1,0
13_DEC25_132,099093712,0990,9371,000,2026-02-04,34,35,34,0,0,0,0,1
13_DEC25_132,211843872,2118,4387,000,2026-02-04,15,15,14,1,0,0,0,0
13_DEC25_132,970922552,9709,2255,000,2026-02-04,70,70,70,0,0,0,0,0
13_DEC25_132,958630922,9586,3092,000,2026-02-04,100,100,100,0,0,0,0,0
13_DEC25_132,992538092,9925,3809,000,2026-02-04,31,31,31,0,0,0,0,0
13_DEC25_132,124364172,1243,6417,000,2026-02-04,31,31,30,0,0,0,1,1
13_DEC25_132,099197572,0991,9757,000,2026-02-04,36,36,36,0,0,0,0,0
13_DEC25_132,990238092,9902,3809,000,2026-02-04,24,23,17,1,0,0,6,5
13_DEC25_132,209094902,2090,9490,275,2026-02-04,14,14,14,0,0,0,0,0
13_DEC25_132,949021022,9490,2102,000,2026-02-04,14,14,14,0,0,0,0,0
13_DEC25_132,688869692,6888,6969,000,2026-02-04,144,144,144,0,0,0,0,0
13_DEC25_132,205896142,2058,9614,000,2026-02-04,8,8,8,0,0,0,0,0
13_DEC25_132,224897092,2248,9709,000,2026-02-04,70,71,70,0,0,0,0,1
13_DEC25_132,992038092,9920,3809,000,2026-02-04,24,23,17,1,0,0,6,5
13_DEC25_132,380999252,3809,9925,000,2026-02-04,29,29,29,0,0,0,0,0
13_DEC25_132,696968882,6969,6888,000,2026-02-04,137,137,135,0,0,0,2,2
13_DEC25_132,210294902,2102,9490,000,2026-02-04,14,14,14,0,0,0,0,0
13_DEC25_132,992138092,9921,3809,000,2026-02-04,24,23,17,1,0,0,6,5
13_DEC25_132,189798822,1897,9882,000,2026-02-04,34,34,34,0,0,0,0,0
13_DEC25_132,380999162,3809,9916,000,2026-02-04,32,32,32,0,0,0,0,0
13_DEC25_132,988218972,9882,1897,000,2026-02-04,19,20,18,0,0,0,1,2
13_DEC25_132,965517342,9655,1734,000,2026-02-04,37,37,37,0,0,0,0,0
13_DEC25_132,380999212,3809,9921,000,2026-02-04,32,32,32,0,0,0,0,0
13_DEC25_132,975909912,9759,0991,000,2026-02-04,38,38,37,0,0,0,1,1
13_DEC25_132,099197592,0991,9759,000,2026-02-04,36,36,36,0,0,0,0,0
13_DEC25_132,937109902,9371,0990,000,2026-02-04,35,35,35,0,0,0,0,0
13_DEC25_132,991638092,9916,3809,000,2026-02-04,24,23,17,1,0,0,6,5
13_DEC25_132,385099022,3850,9902,000,2026-02-04,18,18,18,0,0,0,0,0
13_DEC25_132,961420582,9614,2058,000,2026-02-04,0,6,0,0,0,0,0,6
13_DEC25_132,142995872,1429,9587,000,2026-02-04,81,80,80,0,0,0,1,0